Company,Sector,Industry,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,datetime extracted
Lam Research Corporation,Technology,Semiconductor Equipment & Materials,USA,S&P 500,24.87,13.90,0.30%,145.30M,-0.16%,49.98B,19.60,16.36%,-17.62%,144.73M,13.06%,2.10B,1.71,4.04,89.60%,2.69%,29.64%,9.61B,5.20,-16.80%,-0.04%,1.88,12.78%,31.23,11.07,17.00%,316.22,64.04%,37.30,9.27,14.52%,45.30%,181.38 - 367.56,18.24%,4.60,37.83,30.50%,24.00%,-5.94%,1.37,1.33%,3.70,15.90%,45.90%,90.61%,11.24,10700,4.50,2.60%,26.40%,59.40,3.38% 3.24%,Yes,1.12,11.90%,21.80%,0.97,354.82,Yes,1.11,Jul 29 AMC,31.20%,2.07M,345.72,2.00,3.11%,13.44%,22.74%,"2,000,127",-2.56%,2020-07-25 16:25:46.619279
"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,USA,S&P 500,20.95,3.24,0.10%,146.20M,2.09%,9.98B,25.74,-2.59%,0.00%,144.78M,7.52%,476.10M,-,0.15,92.70%,4.98%,17.32%,3.95B,2.53,36.50%,3.36%,4.76,-25.25%,1.85,36.64,14.50%,62.33,4.63%,0.20,331.47,-3.25%,342.30%,39.06 - 96.32,-21.20%,0.92,22.62,12.10%,22.90%,-29.62%,0.82,1.36%,0.80,5.90%,26.20%,73.55%,2.09,7600,1.80,1.10%,17.10%,57.34,2.91% 3.08%,Yes,8.33,-20.80%,12.10%,0.62,68.72,Yes,8.12,Jul 28 BMO,24.50%,1.51M,67.79,2.60,4.96%,6.65%,-7.86%,"945,024",-1.35%,2020-07-25 16:25:46.619279
Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,USA,S&P 500,16.15,2.75,21.00%,764.00M,-8.89%,34.59B,17.98,24700.00%,0.00%,330.37M,-1.29%,2.12B,-,-0.72,39.50%,3.13%,1.32%,11.88B,2.91,11.40%,0.10%,1.40,-34.62%,5.88,7.54,9.50%,59.00,-29.19%,3.34,13.29,-8.46%,41.10%,33.30 - 74.29,-35.75%,-,-,-0.10%,21.30%,-40.29%,1.61,-,1.40,-1.20%,49.30%,33.21%,2.02,50000,1.40,-51.10%,27.90%,41.21,3.39% 4.12%,Yes,2.74,-100.20%,17.80%,0.73,44.88,Yes,2.73,Jul 22 AMC,112.90%,7.40M,44.36,1.80,-4.56%,-7.54%,-20.63%,"5,399,901",-1.16%,2020-07-25 16:25:46.619279
"Leggett & Platt, Incorporated",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,S&P 500,15.30,2.35,0.90%,135.40M,-1.67%,4.86B,16.63,61.99%,0.00%,130.67M,6.43%,318.30M,2.94,-0.01,73.50%,3.87%,20.25%,4.64B,1.05,9.60%,0.28%,2.95,-29.38%,9.14,3.93,6.50%,34.80,-8.97%,3.74,9.61,5.20%,25.20%,22.03 - 55.42,-29.31%,1.60,16.00,9.70%,12.10%,-35.17%,1.59,4.45%,1.30,4.70%,22.40%,63.10%,1.40,22000,2.10,-9.50%,10.70%,52.67,2.91% 3.88%,Yes,1.99,-25.70%,6.90%,0.50,36.35,Yes,1.95,Aug 03 AMC,67.80%,1.71M,35.93,2.60,1.88%,6.59%,-10.67%,"857,421",-1.16%,2020-07-25 16:25:46.619279
"Leidos Holdings, Inc.",Technology,Information Technology Services,USA,S&P 500,22.06,4.13,0.50%,142.00M,3.29%,12.70B,14.52,19.70%,-5.61%,141.10M,-2.34%,595.00M,2.13,1.08,78.50%,1.78%,-10.67%,11.41B,1.11,22.00%,0.10%,2.36,-10.38%,23.63,3.85,6.10%,116.83,12.22%,3.19,28.54,10.35%,17.80%,68.00 - 125.84,-6.97%,1.36,17.03,24.80%,11.20%,-27.63%,1.08,1.49%,-,17.00%,13.90%,33.93%,2.34,34000,0.70,12.10%,8.00%,48.43,1.98% 2.58%,Yes,1.26,-37.90%,5.20%,0.71,90.67,Yes,0.73,Aug 04 BMO,32.00%,1.06M,91.07,1.80,1.89%,-5.41%,-4.65%,"752,597",0.44%,2020-07-25 16:25:46.619279
Lennar Corporation,Consumer Cyclical,Residential Construction,USA,S&P 500,10.48,6.66,1.70%,308.37M,0.27%,21.20B,10.96,2.20%,-7.27%,284.47M,18.21%,2.08B,3.38,1.54,95.40%,2.81%,62.76%,22.62B,0.94,1.50%,-0.40%,2.14,4.73%,53.65,1.30,7.10%,71.00,46.13%,5.41,12.91,3.10%,13.00%,25.42 - 73.75,25.09%,0.50,6.94,15.50%,7.20%,-5.37%,1.61,0.72%,-,23.40%,15.00%,174.55%,2.71,10106,-,-43.90%,11.70%,59.99,3.83% 4.03%,Yes,0.54,-19.40%,9.20%,0.60,70.08,Yes,0.45,Jun 15 AMC,3.70%,3.74M,69.79,2.20,7.85%,12.99%,21.54%,"2,245,629",-0.41%,2020-07-25 16:25:46.619279
Eli Lilly and Company,Healthcare,Drug Manufacturers - General,USA,S&P 500,26.45,6.03,11.70%,908.20M,-3.87%,151.71B,20.08,16.60%,-2.38%,793.65M,1.60%,5.53B,1.96,1.57,79.50%,0.76%,-2.08%,23.09B,6.57,54.10%,-0.16%,1.73,14.72%,3.39,47.06,14.10%,163.07,47.97%,1.87,85.35,13.47%,186.80%,101.36 - 170.75,21.39%,2.96,110.31,17.40%,24.60%,-6.57%,0.26,1.86%,0.90,2.60%,79.20%,57.40%,3.81,33625,1.10,15.10%,12.90%,45.85,1.93% 2.22%,Yes,5.60,180.20%,24.00%,0.64,161.52,Yes,4.54,Jul 30 BMO,44.10%,3.49M,159.54,2.40,-3.12%,1.02%,15.16%,"2,232,704",-1.23%,2020-07-25 16:25:46.619279
Lincoln National Corporation,Financial,Insurance - Life,USA,S&P 500,11.17,3.33,0.80%,195.08M,0.46%,7.28B,3.85,16.98%,2.55%,181.90M,3.25%,669.00M,1.13,1.49,82.20%,4.27%,23.17%,17.73B,0.41,-41.80%,-0.27%,3.57,-34.20%,84.97,0.44,0.20%,45.67,-43.81%,31.70,1.17,9.88%,3.70%,16.11 - 66.93,-36.94%,1.60,-,-5.30%,4.90%,-44.40%,2.25,4.30%,-,4.90%,-,130.97%,1.76,11357,-,11.40%,6.10%,50.40,2.89% 4.68%,Yes,0.41,-78.50%,3.90%,0.45,37.59,Yes,0.41,Aug 05 AMC,43.80%,2.17M,37.21,2.30,3.77%,-1.90%,-19.27%,"982,445",-1.01%,2020-07-25 16:25:46.619279
Linde plc,Basic Materials,Specialty Chemicals,United Kingdom,S&P 500,57.00,4.28,0.10%,531.22M,0.61%,126.22B,28.83,13.32%,-1.50%,524.30M,18.44%,2.32B,5.26,1.65,85.50%,0.81%,34.50%,28.02B,4.50,-70.80%,0.27%,2.08,16.23%,84.29,2.90,2.70%,222.12,22.10%,7.76,31.45,10.83%,4.80%,146.71 - 248.25,14.64%,3.85,150.80,-6.90%,3.40%,-1.68%,0.76,1.58%,0.60,18.10%,41.60%,66.36%,5.21,79008,0.70,-3.00%,10.90%,74.41,1.40% 2.11%,Yes,0.38,34.70%,8.40%,0.64,245.98,Yes,0.22,-,82.40%,2.03M,244.07,2.00,7.34%,15.05%,21.81%,"1,295,475",-0.78%,2020-07-25 16:25:46.619279
"Live Nation Entertainment, Inc.",Communication Services,Entertainment,USA,S&P 500,-,-0.71,2.00%,211.05M,-6.11%,10.28B,-,84.90%,-2.49%,157.07M,8.47%,-139.50M,-,-2.08,81.00%,9.43%,25.31%,11.19B,0.92,72.70%,2.27%,3.64,-33.46%,4.07,11.77,-1.30%,52.45,-33.93%,15.25,3.14,-,-12.50%,21.70 - 76.60,-32.95%,-,36.52,45.50%,5.80%,-37.44%,1.14,-,1.00,11.00%,26.80%,120.83%,2.21,10500,1.00,-21.00%,1.60%,49.41,3.75% 4.50%,Yes,4.29,-204.70%,-1.20%,0.28,48.00,Yes,4.25,May 07 AMC,-,4.07M,47.92,2.10,2.39%,0.39%,-15.56%,"1,142,379",-0.17%,2020-07-25 16:25:46.619279
LKQ Corporation,Consumer Cyclical,Auto Parts,USA,S&P 500,14.66,1.91,0.60%,306.24M,-1.86%,8.49B,12.34,38.09%,-1.16%,297.85M,12.83%,588.70M,0.44,0.15,97.90%,1.65%,31.08%,12.41B,0.68,13.30%,-0.03%,1.88,-16.81%,16.19,1.73,4.70%,33.88,1.38%,1.10,25.50,33.50%,12.00%,13.31 - 36.63,-21.68%,-,10.30,6.90%,7.50%,-23.67%,1.68,-,0.90,13.20%,39.20%,110.07%,0.99,51000,2.30,-3.20%,7.30%,55.76,2.92% 3.51%,Yes,0.76,53.60%,4.70%,0.97,28.16,Yes,0.74,Jul 30 BMO,0.00%,2.63M,27.96,1.60,5.38%,4.77%,-4.22%,"2,534,530",-0.71%,2020-07-25 16:25:46.619279
Lockheed Martin Corporation,Industrials,Aerospace & Defense,USA,S&P 500,17.53,22.03,0.07%,281.30M,4.81%,107.54B,14.65,9.09%,-20.22%,278.79M,7.33%,6.24B,1.97,5.72,79.00%,0.91%,1.16%,61.13B,1.76,25.80%,0.09%,1.65,-10.70%,12.25,31.53,12.90%,433.72,4.29%,7.14,54.09,8.91%,187.50%,266.11 - 442.53,-0.81%,9.60,27.87,16.80%,47.70%,-12.73%,0.94,2.49%,1.00,8.40%,13.50%,45.13%,9.56,110000,1.20,9.20%,13.70%,59.00,2.78% 2.35%,Yes,3.68,1.40%,10.20%,0.84,387.62,Yes,3.32,Jul 21 BMO,41.50%,1.54M,386.21,2.10,6.40%,3.10%,0.79%,"1,299,848",-0.36%,2020-07-25 16:25:46.619279
Loews Corporation,Financial,Insurance - Property & Casualty,USA,S&P 500,-,-0.41,15.24%,287.04M,1.94%,10.40B,-,-,-0.09%,238.54M,11.15%,-94.00M,-,-,66.80%,1.29%,13.80%,14.40B,0.72,54.60%,-0.01%,2.18,-28.20%,59.11,0.62,-0.10%,-,-32.68%,3.33,11.07,14.03%,-0.50%,27.33 - 56.88,-29.76%,0.25,12.05,4.10%,4.80%,-35.18%,0.76,0.68%,-,0.80%,-,34.93%,1.12,18605,-,-15.40%,0.60%,60.08,2.47% 3.07%,Yes,0.71,-273.40%,-0.70%,0.53,37.06,Yes,0.56,Aug 03 BMO,-,1.42M,36.87,3.00,6.02%,8.02%,-14.14%,"751,272",-0.51%,2020-07-25 16:25:46.619279
"Lowe's Companies, Inc.",Consumer Cyclical,Home Improvement Retail,USA,S&P 500,24.81,5.93,0.17%,755.00M,1.83%,109.75B,20.06,8.34%,0.77%,754.48M,11.40%,4.56B,1.27,2.55,77.20%,1.06%,48.89%,74.08B,1.48,92.90%,-0.09%,1.54,22.29%,2.27,64.77,11.00%,143.20,44.08%,-,-,19.60%,207.50%,60.00 - 149.65,22.77%,2.20,32.77,15.20%,23.40%,-1.75%,1.42,1.50%,0.40,5.10%,32.20%,145.05%,3.25,200000,1.20,10.90%,9.30%,70.90,2.03% 2.26%,Yes,12.71,34.70%,6.20%,0.72,146.50,Yes,11.77,May 20 BMO,35.90%,5.20M,147.03,1.80,6.16%,11.95%,27.91%,"3,722,778",0.36%,2020-07-25 16:25:46.619279
LyondellBasell Industries N.V.,Basic Materials,Specialty Chemicals,USA,S&P 500,8.73,7.85,0.20%,334.00M,0.00%,22.98B,9.14,52.57%,2.87%,255.53M,12.96%,2.72B,-,0.65,69.60%,1.95%,36.86%,33.44B,0.69,-20.30%,-0.13%,2.04,-19.36%,21.93,3.12,8.90%,67.50,-19.89%,5.35,12.80,-1.11%,32.00%,33.71 - 98.91,-27.50%,4.20,35.35,3.80%,17.20%,-30.75%,1.59,6.13%,1.00,-5.30%,14.20%,103.20%,2.42,19100,1.80,-14.60%,10.20%,54.27,2.89% 3.48%,Yes,1.86,-80.70%,8.10%,0.54,68.89,Yes,1.66,Jul 31 BMO,53.60%,2.44M,68.50,2.60,2.93%,4.05%,-7.57%,"1,318,881",-0.57%,2020-07-25 16:25:46.619279
M&T Bank Corporation,Financial,Banks - Regional,USA,S&P 500,8.52,12.34,0.40%,129.70M,5.85%,13.92B,10.36,19.93%,-0.85%,127.74M,2.15%,1.64B,-,1.65,85.20%,1.68%,0.07%,4.77B,2.92,8.00%,0.00%,2.30,-38.70%,112.31,0.94,1.30%,121.17,-35.63%,98.91,1.06,-7.13%,11.30%,85.09 - 174.00,-38.07%,4.40,17.51,13.10%,15.60%,-39.58%,1.21,4.19%,-,10.50%,-,23.55%,4.15,16998,-,-8.60%,76.50%,52.18,3.38% 3.86%,Yes,0.43,-42.30%,34.30%,0.79,105.00,Yes,0.43,Jul 23 BMO,34.00%,931.50K,105.13,2.90,3.85%,0.35%,-22.16%,"739,392",0.12%,2020-07-25 16:25:46.619279
Marathon Oil Corporation,Energy,Oil & Gas E&P,USA,S&P 500,17.87,0.32,0.30%,794.00M,3.81%,4.69B,-,36.20%,6.33%,788.06M,-1.21%,260.00M,10.01,-0.58,84.70%,6.79%,16.02%,5.21B,0.90,-54.20%,-0.10%,1.45,-52.05%,15.06,0.38,1.30%,7.48,-58.40%,1.23,4.65,1.79%,2.10%,3.02 - 14.39,-57.88%,-,1.42,-16.00%,4.10%,-60.25%,3.39,-,1.30,-14.60%,86.80%,89.40%,0.33,2000,1.30,5.70%,11.10%,48.86,4.26% 5.77%,Yes,0.00,-127.30%,5.00%,0.50,5.76,Yes,0.46,Aug 05 AMC,62.30%,36.76M,5.72,2.90,0.43%,-5.19%,-33.95%,"18,222,241",-0.69%,2020-07-25 16:25:46.619279
Marathon Petroleum Corporation,Energy,Oil & Gas Refining & Marketing,USA,S&P 500,-,-10.25,0.20%,648.00M,2.03%,24.81B,19.15,186.60%,0.00%,643.44M,6.82%,-6590.00M,-,-1.67,77.20%,4.04%,50.23%,120.18B,0.21,-24.80%,0.27%,2.78,-28.98%,37.17,1.04,-6.90%,47.07,-31.50%,2.64,14.68,-1.41%,-21.00%,15.26 - 69.65,-35.77%,2.32,57.16,-2.00%,7.20%,-44.44%,2.21,5.99%,0.60,4.90%,10.70%,153.60%,1.91,60910,1.20,-15.20%,-5.70%,56.79,3.76% 5.31%,Yes,1.31,-,-5.50%,0.40,38.88,Yes,1.24,-,-,9.35M,38.70,1.90,6.23%,5.61%,-15.57%,"3,715,347",-0.46%,2020-07-25 16:25:46.619279
MarketAxess Holdings Inc.,Financial,Capital Markets,USA,S&P 500,84.65,5.98,3.40%,37.30M,-5.02%,19.11B,64.69,4.50%,-5.18%,36.42M,0.12%,227.20M,4.56,2.12,95.10%,1.21%,20.14%,555.80M,34.38,18.50%,0.17%,1.58,40.79%,21.39,23.65,25.30%,496.70,47.04%,9.63,52.53,18.55%,31.10%,275.49 - 561.68,33.42%,2.40,76.16,22.30%,25.80%,-9.95%,0.63,0.47%,-,14.20%,94.80%,83.60%,16.01,527,-,35.70%,50.20%,45.63,2.95% 3.15%,Yes,0.00,41.50%,40.90%,0.72,509.18,Yes,0.00,Jul 22 BMO,34.80%,279.82K,505.81,2.80,-2.99%,-0.21%,24.62%,"202,292",-0.66%,2020-07-25 16:25:46.619279
"Marriott International, Inc.",Consumer Cyclical,Lodging,USA,S&P 500,31.29,2.80,0.90%,325.40M,-4.35%,28.88B,24.26,371.50%,-2.62%,270.33M,2.94%,929.00M,-,-0.42,65.30%,3.42%,8.41%,20.64B,1.40,-27.90%,0.29%,1.84,-37.95%,-0.06,-,3.70%,98.48,-37.82%,5.33,16.41,-6.61%,134.60%,46.56 - 153.39,-42.22%,-,37.36,8.40%,12.70%,-42.96%,1.61,-,0.60,8.70%,14.30%,87.92%,3.59,174000,0.60,-6.60%,6.80%,45.76,3.14% 3.79%,Yes,-,-91.30%,4.50%,0.47,88.97,Yes,-,May 11 BMO,68.20%,5.03M,87.50,2.80,-0.86%,-4.19%,-22.52%,"2,361,121",-1.65%,2020-07-25 16:25:46.619279
"Marsh & McLennan Companies, Inc.",Financial,Insurance Brokers,USA,S&P 500,32.89,3.49,0.20%,505.00M,0.82%,57.06B,22.51,10.53%,-29.03%,504.80M,10.29%,1.78B,5.74,1.13,90.60%,1.00%,22.86%,17.23B,3.31,5.90%,0.19%,2.07,0.66%,14.45,7.93,5.70%,107.67,12.66%,2.97,38.56,5.73%,23.10%,74.33 - 119.88,2.88%,1.86,91.89,5.60%,10.00%,-4.39%,0.87,1.62%,1.10,5.20%,-,54.19%,1.98,76000,1.10,14.20%,16.10%,66.14,1.20% 1.77%,Yes,1.87,5.50%,10.30%,0.41,115.28,Yes,1.54,Jul 30 BMO,50.60%,2.45M,114.62,2.60,4.36%,6.21%,9.38%,"1,008,414",-0.57%,2020-07-25 16:25:46.619279
"Martin Marietta Materials, Inc.",Basic Materials,Building Materials,USA,S&P 500,23.59,9.48,0.60%,62.30M,0.04%,13.89B,22.98,9.19%,-5.72%,61.57M,8.31%,594.10M,5.24,3.00,99.50%,4.19%,26.11%,4.76B,2.92,31.20%,0.11%,4.02,-15.25%,85.02,2.63,-,234.50,0.80%,6.83,32.76,4.50%,-,135.08 - 281.82,-20.02%,2.20,-,29.10%,9.20%,-20.64%,0.91,0.98%,1.10,9.90%,24.80%,65.57%,5.99,8846,1.70,2.00%,-,60.71,2.19% 2.56%,Yes,0.62,-39.20%,-,0.84,223.43,Yes,0.50,Jul 28 BMO,-,640.68K,223.65,2.00,4.33%,9.59%,-3.09%,"541,235",0.10%,2020-07-25 16:25:46.619279
Masco Corporation,Industrials,Building Products & Equipment,USA,S&P 500,23.26,2.33,0.50%,273.00M,1.48%,14.01B,20.24,15.31%,-18.55%,262.74M,13.35%,659.00M,2.37,0.67,97.10%,1.80%,35.08%,6.78B,2.07,7.10%,-0.23%,1.51,11.43%,-1.27,-,-,55.07,27.65%,2.96,18.27,9.81%,-,27.04 - 55.36,12.73%,0.54,-,-0.80%,33.80%,-2.28%,1.47,1.00%,1.30,-0.90%,35.40%,100.07%,1.08,18000,1.80,4.50%,-,69.56,1.71% 2.04%,Yes,-,33.60%,-,0.58,54.30,Yes,-,Jul 30 BMO,-,3.13M,54.10,2.00,5.99%,11.85%,20.70%,"1,802,040",-0.37%,2020-07-25 16:25:46.619279
Mastercard Incorporated,Financial,Credit Services,USA,S&P 500,39.40,7.79,11.20%,1.01B,0.94%,303.30B,35.16,31.88%,-2.06%,876.30M,4.39%,7.92B,2.76,1.16,77.70%,0.55%,18.61%,17.00B,17.84,43.30%,0.05%,1.13,-5.18%,5.37,57.15,28.70%,326.28,9.87%,10.81,28.39,14.28%,149.60%,199.99 - 347.25,2.79%,1.60,44.26,20.70%,55.60%,-11.61%,1.06,0.52%,1.90,12.30%,-,53.47%,7.77,18600,1.90,3.10%,56.80%,53.37,2.68% 2.44%,Yes,0.00,-7.10%,46.80%,0.58,309.90,Yes,2.31,Jul 30 BMO,17.70%,4.26M,306.92,1.80,2.03%,2.45%,6.33%,"2,485,132",-0.96%,2020-07-25 16:25:46.619279
"McCormick & Company, Incorporated",Consumer Defensive,Packaged Foods,USA,S&P 500,34.91,5.54,0.10%,133.10M,1.38%,25.63B,34.51,-1.91%,-28.35%,130.77M,12.34%,744.40M,6.98,1.49,83.80%,1.94%,25.45%,5.43B,4.72,10.20%,-0.16%,3.66,12.08%,27.42,7.06,7.10%,166.67,20.51%,1.40,138.54,5.00%,21.10%,112.22 - 196.77,14.02%,2.48,55.11,9.40%,10.30%,-1.65%,0.37,1.28%,0.50,4.70%,40.90%,72.44%,3.74,12400,1.00,7.60%,18.50%,70.13,1.58% 2.09%,Yes,1.17,30.70%,13.70%,0.76,195.89,Yes,1.13,Jun 25 BMO,42.40%,693.90K,193.52,3.10,4.33%,8.88%,18.17%,"529,133",-1.21%,2020-07-25 16:25:46.619279
"Maxim Integrated Products, Inc.",Technology,Semiconductors,USA,S&P 500,22.60,2.97,0.20%,269.00M,-4.15%,17.77B,28.15,6.05%,-30.82%,264.43M,12.05%,815.00M,8.23,0.56,93.30%,2.09%,25.08%,2.20B,8.07,21.30%,-0.02%,1.76,7.30%,6.02,11.15,22.30%,59.71,4.69%,6.37,10.54,2.75%,46.70%,41.93 - 73.52,9.14%,1.92,77.42,20.00%,29.70%,-8.69%,1.35,2.86%,5.40,-1.20%,64.80%,60.10%,1.88,7131,6.00,3.60%,31.00%,57.97,2.75% 2.47%,Yes,0.00,25.70%,37.00%,1.43,67.44,Yes,0.61,Jul 28 AMC,63.20%,3.14M,67.13,2.90,3.29%,10.28%,16.06%,"4,475,456",-0.46%,2020-07-25 16:25:46.619279
McDonald's Corporation,Consumer Cyclical,Restaurants,USA,DJIA S&P500,26.03,7.63,0.12%,744.80M,3.78%,147.33B,24.86,39.46%,-2.12%,743.19M,7.83%,5.80B,7.23,0.74,69.50%,0.81%,7.99%,20.84B,7.07,4.00%,0.09%,1.62,-5.93%,-12.48,-,12.20%,207.28,-7.33%,7.29,27.24,3.60%,-70.50%,124.23 - 221.93,0.56%,5.00,88.71,10.50%,27.40%,-10.46%,0.66,2.52%,1.90,-5.10%,52.40%,59.96%,3.73,205000,1.90,-6.20%,41.60%,67.87,1.90% 1.91%,Yes,-,-14.40%,27.90%,0.59,197.55,Yes,-,Jul 28 BMO,62.60%,3.70M,198.72,2.00,5.76%,5.94%,3.39%,"2,198,284",0.59%,2020-07-25 16:25:46.619279
McKesson Corporation,Healthcare,Medical Distribution,USA,S&P 500,30.96,5.02,0.33%,175.00M,0.34%,24.95B,9.17,17.72%,-5.89%,162.04M,3.17%,906.00M,4.02,2.31,91.90%,1.57%,11.00%,231.05B,0.11,-3.70%,0.03%,1.82,1.78%,29.10,5.34,1.50%,173.73,12.47%,25.00,6.21,7.70%,14.10%,112.60 - 172.18,12.30%,1.64,6.71,-8.00%,23.10%,-9.78%,0.83,1.06%,0.60,5.20%,5.20%,37.96%,3.80,80000,1.00,11.60%,1.30%,55.27,1.90% 2.55%,Yes,1.45,223.70%,0.40%,0.42,156.66,Yes,1.24,Aug 03 BMO,31.20%,1.40M,155.34,2.10,3.18%,2.64%,7.23%,"591,530",-0.84%,2020-07-25 16:25:46.619279
Medtronic plc,Healthcare,Medical Devices,Ireland,S&P 500,27.55,3.50,0.10%,1.34B,-2.26%,125.52B,17.24,54.11%,0.52%,1.34B,8.34%,4.73B,2.87,0.15,84.70%,0.65%,-2.97%,28.91B,4.34,2.30%,-0.06%,1.53,-19.21%,37.84,2.55,5.20%,110.17,-5.62%,8.40,11.47,9.62%,9.40%,72.13 - 122.15,-15.07%,2.32,40.14,7.70%,6.70%,-21.12%,0.68,2.41%,1.70,7.40%,67.90%,33.58%,2.17,90000,2.10,-26.40%,15.10%,54.79,1.69% 2.14%,Yes,0.49,-47.40%,16.60%,0.71,96.57,Yes,0.43,May 21 BMO,60.50%,5.72M,96.35,2.00,3.16%,1.54%,-6.60%,"4,049,117",-0.23%,2020-07-25 16:25:46.619279
"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,USA,DJIA S&P500,19.40,3.98,0.10%,2.53B,-3.47%,193.46B,12.69,14.40%,-1.81%,2.52B,1.62%,10.20B,3.10,1.04,77.70%,0.59%,-5.32%,48.08B,4.02,58.90%,0.13%,1.47,-10.33%,10.35,7.45,12.10%,93.00,-5.69%,2.96,26.03,6.25%,38.10%,65.25 - 92.64,-15.23%,2.44,61.83,-1.10%,19.20%,-16.77%,0.49,3.16%,0.90,2.10%,72.20%,18.16%,1.52,71000,1.10,11.50%,25.50%,45.53,1.93% 1.82%,Yes,1.07,10.30%,21.10%,0.85,78.06,Yes,0.83,Jul 31 BMO,58.30%,10.12M,77.10,2.00,-1.23%,-1.62%,-6.12%,"8,605,288",-1.23%,2020-07-25 16:25:46.619279
"MetLife, Inc.",Financial,Insurance - Life,USA,S&P 500,4.07,9.39,0.10%,914.10M,-0.65%,34.92B,6.41,9.58%,-1.53%,768.11M,7.57%,8.74B,2.49,0.91,77.70%,2.18%,14.77%,71.76B,0.49,23.30%,-0.16%,2.64,-25.45%,76.82,0.50,1.20%,43.17,-23.77%,26.37,1.45,1.63%,13.00%,22.85 - 53.28,-25.01%,1.84,2.93,2.30%,8.30%,-28.27%,1.35,4.81%,-,-1.00%,-,67.26%,1.15,49000,-,12.30%,16.20%,54.32,1.98% 2.92%,Yes,0.26,238.90%,12.20%,0.52,38.56,Yes,0.25,Aug 05 AMC,18.60%,6.36M,38.22,2.20,3.15%,4.18%,-9.04%,"3,311,219",-0.88%,2020-07-25 16:25:46.619279
Mettler-Toledo International Inc.,Healthcare,Diagnostics & Research,USA,S&P 500,38.98,22.13,0.30%,24.03M,-0.60%,20.46B,34.78,17.30%,-62.24%,23.47M,10.04%,547.40M,6.39,4.19,98.30%,2.86%,20.93%,2.98B,6.87,12.20%,0.37%,4.88,5.22%,12.75,67.66,20.00%,748.20,9.11%,13.65,63.21,6.10%,131.20%,579.40 - 891.04,8.75%,-,42.94,14.50%,32.80%,-3.18%,1.09,-,1.30,3.90%,58.00%,48.90%,19.68,16200,1.80,-4.50%,22.60%,60.19,2.01% 2.21%,Yes,5.12,-8.80%,18.40%,1.05,885.37,Yes,4.94,Jul 30 AMC,0.00%,137.48K,862.72,3.20,3.60%,7.92%,15.45%,"143,866",-2.56%,2020-07-25 16:25:46.619279
MGM Resorts International,Consumer Cyclical,Resorts & Casinos,USA,S&P 500,2.84,5.56,0.60%,495.42M,-6.07%,8.15B,-,51.80%,124.70%,489.44M,-6.73%,2.83B,-,-1.72,77.50%,9.01%,13.27%,11.98B,0.68,378.50%,-0.13%,1.61,-49.98%,16.50,0.96,8.40%,17.99,-46.24%,11.65,1.36,-,39.80%,5.90 - 34.63,-52.54%,0.01,97.77,71.20%,17.40%,-54.41%,2.18,0.06%,2.90,5.10%,40.10%,167.62%,0.95,52000,2.90,-29.10%,40.30%,42.66,3.95% 5.73%,Yes,1.47,2478.10%,23.70%,0.59,15.89,Yes,1.46,Jul 30 AMC,9.70%,27.34M,15.79,2.70,-4.71%,-9.38%,-32.68%,"16,234,845",-0.63%,2020-07-25 16:25:46.619279
Microchip Technology Incorporated,Technology,Semiconductors,USA,S&P 500,45.16,2.22,2.20%,240.10M,-5.17%,25.29B,14.72,16.84%,-0.95%,240.05M,-0.86%,570.60M,5.07,1.43,-,8.20%,22.19%,5.27B,4.80,50.80%,-0.03%,6.38,-6.54%,23.26,4.31,3.20%,117.85,2.20%,1.60,62.76,8.90%,10.40%,53.15 - 113.28,-4.31%,1.47,22.46,6.20%,7.00%,-11.54%,1.61,1.47%,0.90,19.70%,61.50%,88.54%,3.28,18000,1.40,-0.30%,12.20%,43.02,3.03% 3.20%,Yes,1.70,-44.20%,10.80%,0.77,101.53,Yes,1.59,May 07 AMC,61.40%,3.08M,100.21,2.00,-4.57%,-0.58%,5.97%,"2,371,770",-1.30%,2020-07-25 16:25:46.619279
